,dex_price,cex_price,unix_datetime,pool_asset,cex_asset,date,time,price_diff
466,0.717547643,0.72,1675862871.0,AVA,AVA,2023-02-08,13:27:51,99.8294
469,1.549953633,1.54395,1675862880.0,TWT,TWT,2023-02-08,13:28:00,99.806
470,22960.046352248,22866.745,1675862882.0,BTC,BTC,2023-02-08,13:28:02,99.7964
472,89.705676924,86.55,1675862886.0,AAVE,AAVE,2023-02-08,13:28:06,98.2096
473,1657.616948093,1647.115,1675862894.0,ETH,ETH,2023-02-08,13:28:14,99.6822
474,2.682200214,2.663,1675862905.0,SNX,SNX,2023-02-08,13:28:25,99.6408
476,22918.104821732,22855.62,1675862919.0,WBTC,WBTC,2023-02-08,13:28:39,99.8635
477,7728.591187404,7703.5,1675862924.0,YFI,YFI,2023-02-08,13:28:44,99.8374
478,15.018855327,14.985,1675862926.0,ATOM,ATOM,2023-02-08,13:28:46,99.8872
480,20.060607125,20.015,1675862936.0,AVAX,AVAX,2023-02-08,13:28:56,99.8862
482,0.717547643,0.72,1675862942.0,AVA,AVA,2023-02-08,13:29:02,99.8294
485,1.547828235,1.545,1675862952.0,TWT,TWT,2023-02-08,13:29:12,99.9086
486,22969.740682013,22869.945,1675862953.0,BTC,BTC,2023-02-08,13:29:13,99.7823
488,89.705676924,86.55,1675862957.0,AAVE,AAVE,2023-02-08,13:29:17,98.2096
489,1657.616947798,1646.595,1675862966.0,ETH,ETH,2023-02-08,13:29:26,99.6664
490,2.682200214,2.6625,1675862976.0,SNX,SNX,2023-02-08,13:29:36,99.6314
492,22911.42877534,22851.25,1675862989.0,WBTC,WBTC,2023-02-08,13:29:49,99.8685
493,7728.591187404,7699.5,1675862994.0,YFI,YFI,2023-02-08,13:29:54,99.8114
494,15.018855327,14.9755,1675862996.0,ATOM,ATOM,2023-02-08,13:29:56,99.8555
496,20.060607125,19.985,1675863006.0,AVAX,AVAX,2023-02-08,13:30:06,99.8112
498,0.717547643,0.72,1675863012.0,AVA,AVA,2023-02-08,13:30:12,99.8294
500,1648.837239086,1645.905,1675863020.0,ETH,ETH,2023-02-08,13:30:20,99.911
501,1.547828235,1.5449,1675863022.0,TWT,TWT,2023-02-08,13:30:22,99.9053
502,22969.760664744,22856.1,1675863023.0,BTC,BTC,2023-02-08,13:30:23,99.752
504,89.705676924,86.3,1675863027.0,AAVE,AAVE,2023-02-08,13:30:27,98.065
505,1657.616946989,1646.165,1675863035.0,ETH,ETH,2023-02-08,13:30:35,99.6534
506,2.682200214,2.655,1675863044.0,SNX,SNX,2023-02-08,13:30:44,99.4904
508,22911.42877534,22846.04,1675863056.0,WBTC,WBTC,2023-02-08,13:30:56,99.8571
509,7728.591187403,7700.5,1675863061.0,YFI,YFI,2023-02-08,13:31:01,99.8179
